dir,entry,sl,tp,size,bars,open_idx,open_time,buy_p,sell_p,result,pnl,close_idx,close_time,equity
buy,3362.05,3356.766785714286,3369.094285714286,1.8927871290475653,4,2412,2025-06-23 15:50:00,0.545,0.383,tp,13.33,2417,2025-06-23 16:15:00,1013.33
buy,3382.94,3376.357142857143,3391.717142857143,1.5393518518519003,26,2469,2025-06-23 20:35:00,0.53,0.347,sl,-10.13,2496,2025-06-23 22:50:00,1003.2
sell,3350.82,3353.687142857143,3346.997142857143,3.4989536621823345,12,2582,2025-06-24 07:00:00,0.366,0.624,tp,13.38,2595,2025-06-24 08:05:00,1016.58
sell,3324.21,3327.1275,3320.32,3.4844078834618473,3,2671,2025-06-24 14:25:00,0.586,0.379,tp,13.55,2675,2025-06-24 14:45:00,1030.13
sell,3312.7,3317.8117857142856,3305.8842857142854,2.015206435175441,9,2726,2025-06-24 19:00:00,0.532,0.406,sl,-10.3,2736,2025-06-24 19:50:00,1019.83
sell,3281.7,3285.72,3276.3399999999997,2.53688816716419,10,3793,2025-06-30 15:55:00,0.57,0.377,sl,-10.2,3804,2025-06-30 16:50:00,1009.63
buy,3347.16,3342.852857142857,3352.902857142857,2.344084666459658,4,4341,2025-07-02 15:35:00,0.269,0.694,sl,-10.1,4346,2025-07-02 16:00:00,999.53
buy,3335.21,3332.0182142857143,3339.4657142857145,3.131583805161542,7,4677,2025-07-04 13:00:00,0.848,0.095,sl,-10.0,4685,2025-07-04 13:40:00,989.54
buy,3337.47,3334.617857142857,3341.272857142857,3.469458404966216,9,4686,2025-07-04 13:45:00,0.408,0.504,sl,-9.9,4696,2025-07-04 14:55:00,979.64
sell,3311.53,3314.877142857143,3307.067142857143,2.926805791062815,1,4850,2025-07-07 08:45:00,0.35,0.531,sl,-9.8,4852,2025-07-07 08:55:00,969.85
sell,3329.07,3333.086785714286,3323.714285714286,2.414485963821517,6,5207,2025-07-08 15:30:00,0.573,0.289,tp,12.93,5214,2025-07-08 16:05:00,982.78
sell,3290.15,3292.735357142857,3286.7028571428573,3.8013261431466945,0,5458,2025-07-09 13:25:00,0.559,0.375,sl,-9.83,5459,2025-07-09 13:30:00,972.95
buy,3332.24,3330.295357142857,3334.832857142857,5.0032363545888705,4,5944,2025-07-11 07:55:00,0.376,0.601,tp,12.97,5949,2025-07-11 08:20:00,985.92
buy,3334.6,3330.8017857142854,3339.6642857142856,2.5957552336696366,5,5972,2025-07-11 10:15:00,0.399,0.21,tp,13.15,5978,2025-07-11 10:45:00,999.07
buy,3354.77,3351.1485714285714,3359.598571428571,2.758770710277323,5,6084,2025-07-11 19:35:00,0.274,0.718,sl,-9.99,6090,2025-07-11 20:05:00,989.08
sell,3350.79,3352.630714285714,3348.3357142857144,5.37334025071668,2,6376,2025-07-14 20:55:00,0.619,0.377,tp,13.19,6379,2025-07-14 21:10:00,1002.27
buy,3360.71,3357.4410714285714,3365.0685714285714,3.0660386315108483,6,6523,2025-07-15 10:10:00,0.286,0.525,tp,13.36,6530,2025-07-15 10:45:00,1015.63
buy,3362.74,3359.6328571428567,3366.882857142857,3.2686932125065242,7,6540,2025-07-15 11:35:00,0.41,0.521,sl,-10.16,6548,2025-07-15 12:15:00,1005.47
sell,3342.4,3344.5417857142857,3339.5442857142857,4.694556384746217,4,7045,2025-07-17 07:50:00,0.543,0.389,tp,13.41,7050,2025-07-17 08:15:00,1018.88
sell,3335.3,3337.3764285714287,3332.5314285714285,4.906885340186729,1,7328,2025-07-18 08:30:00,0.616,0.373,sl,-10.19,7330,2025-07-18 08:40:00,1008.69
buy,3394.89,3392.1675,3398.52,3.7050170607593356,5,7738,2025-07-21 19:50:00,0.335,0.636,sl,-10.09,7744,2025-07-21 20:20:00,998.6
sell,3388.96,3391.171428571429,3386.0114285714285,4.515651098776283,6,7915,2025-07-22 11:45:00,0.341,0.619,tp,13.31,7922,2025-07-22 12:20:00,1011.92
buy,3423.13,3420.1321428571428,3427.127142857143,3.375473404614988,9,8212,2025-07-23 13:40:00,0.732,0.242,tp,13.49,8222,2025-07-23 14:30:00,1025.41
buy,3370.83,3368.31,3374.1899999999996,4.069091091522811,1,8558,2025-07-24 19:40:00,0.29,0.706,sl,-10.25,8560,2025-07-24 19:50:00,1015.16
buy,3369.41,3366.9392857142857,3372.7042857142856,4.10875855368145,16,8564,2025-07-24 20:10:00,0.43,0.553,tp,13.54,8581,2025-07-24 21:35:00,1028.69
sell,3343.51,3348.7664285714286,3336.5014285714287,1.957017499888537,2,8800,2025-07-25 17:00:00,0.559,0.284,tp,13.72,8803,2025-07-25 17:15:00,1042.41
buy,3339.14,3335.81,3343.58,3.130354856020725,8,8988,2025-07-28 09:50:00,0.319,0.546,sl,-10.42,8997,2025-07-28 10:35:00,1031.98
buy,3319.37,3316.7546428571427,3322.8571428571427,3.9458629510802536,0,9318,2025-07-29 14:30:00,0.757,0.238,sl,-10.32,9319,2025-07-29 14:35:00,1021.66
buy,3329.17,3325.9835714285714,3333.4185714285713,3.2062989068429357,8,9578,2025-07-30 13:20:00,0.278,0.586,sl,-10.22,9587,2025-07-30 14:05:00,1011.45
sell,3298.95,3300.8989285714283,3296.351428571428,5.189762297670184,1,9666,2025-07-30 20:40:00,0.61,0.354,sl,-10.11,9668,2025-07-30 20:50:00,1001.33
sell,3301.56,3303.4114285714286,3299.0914285714284,5.408435094483059,1,9668,2025-07-30 20:50:00,0.43,0.558,sl,-10.01,9670,2025-07-30 21:00:00,991.32
buy,3343.01,3339.0232142857144,3348.325714285714,2.48651386316425,1,10203,2025-08-01 19:45:00,0.418,0.57,tp,13.22,10205,2025-08-01 19:55:00,1004.54
buy,3375.32,3371.4585714285718,3380.4685714285715,2.6014656842302797,12,10463,2025-08-04 18:35:00,0.382,0.556,sl,-10.05,10476,2025-08-04 19:40:00,994.49
